Nyårsdagen,1/1,Ja
Svea,2/1,Ja
Alfrida,3/1,Ja
Alfred,3/1,Ja
Rut,4/1,Ja
Hanna,5/1,Ja
Hannele,5/1,Ja
Hanne,5/1,Nej
Hanny,5/1,Nej
Melker,6/1,Ja
Melchior,6/1,Nej
Caspar,6/1,Nej
Trettondedag jul,6/1,Ja
Baltsar,6/1,Ja
Kasper,6/1,Ja
Gusti,7/1,Nej
Gusten,7/1,Nej
Augustinus,7/1,Nej
Agge,7/1,Nej
Age,7/1,Nej
Augusta,7/1,Ja
August,7/1,Ja
Augustin,7/1,Nej
Erland,8/1,Ja
Gunnar,9/1,Ja
Gunder,9/1,Ja
Gunde,9/1,Nej
Günther,9/1,Nej
Sigurd,10/1,Ja
Sigge,10/1,Nej
Sigbritt,10/1,Ja
Janne,11/1,Nej
Jannika,11/1,Nej
Jannike,11/1,Ja
Jan,11/1,Ja
Frideborg,12/1,Ja
Frideborg,12/1,Ja
Tjugondedag jul,13/1,Ja
Knut,13/1,Ja
Felicia,14/1,Ja
Felix,14/1,Ja
Laurentia,15/1,Nej
Lawrence,15/1,Nej
Laura,15/1,Ja
Lalla,15/1,Nej
Lauritz,15/1,Nej
Lorentz,15/1,Ja
Laurina,15/1,Nej
Laurens,15/1,Nej
Larry,15/1,Nej
Lauri,15/1,Nej
Laurentius,15/1,Nej
Hjalmar,16/1,Ja
Helmer,16/1,Ja
Tönnes,17/1,Nej
Antonio,17/1,Nej
Anton,17/1,Ja
Antoni,17/1,Nej
Antonius,17/1,Nej
Tony,17/1,Ja
Anthony,17/1,Nej
Hilda,18/1,Ja
Hildur,18/1,Ja
Hilde,18/1,Nej
Enrique,19/1,Nej
Heinz,19/1,Nej
Heine,19/1,Nej
Heikki,19/1,Nej
Henri,19/1,Nej
Henrik,19/1,Ja
Heinrich,19/1,Nej
Henry,19/1,Nej
Fabian,20/1,Ja
Sebastian,20/1,Ja
Agnes,21/1,Ja
Agna,21/1,Nej
Agnete,21/1,Nej
Agneta,21/1,Ja
Neta,21/1,Nej
Viktor,22/1,Ja
Vincent,22/1,Ja
Freja,23/1,Ja
Frej,23/1,Ja
Erika,24/1,Ja
Paul,25/1,Ja
Pablo,25/1,Nej
Paavo,25/1,Nej
Pål,25/1,Ja
Pauli,25/1,Nej
Palle,25/1,Nej
Pavel,25/1,Nej
Paulus,25/1,Nej
Poul,25/1,Nej
Bolla,26/1,Nej
Botilda,26/1,Nej
Bodil,26/1,Ja
Boel,26/1,Ja
Göta,27/1,Ja
Göte,27/1,Ja
Götilda,27/1,Nej
Karl,28/1,Ja
Carlo,28/1,Nej
Carlos,28/1,Nej
Karla,28/1,Ja
Charles,28/1,Nej
Carol,28/1,Nej
Kaarlo,28/1,Nej
Charlie,28/1,Nej
Charlie,28/1,Nej
Kaarlo,28/1,Nej
Diana,29/1,Ja
Diane,29/1,Nej
Gunilla,30/1,Ja
Gunhild,30/1,Ja
Gulla,30/1,Nej
Gulli,30/1,Nej
Gullan,30/1,Nej
Gully,30/1,Nej
Gullie,30/1,Nej
Gunnela,30/1,Nej
Gundel,30/1,Nej
Gunnil,30/1,Nej
Gunnie,30/1,Nej
Gunni,30/1,Nej
Gunny,30/1,Nej
Gunnila,30/1,Nej
Ivar,31/1,Ja
Joar,31/1,Ja
Max,1/2,Ja
Maximilian,1/2,Ja
Kyndelsmässodagen,2/2,Ja
